Herd1 SumA
1 NA NA
2 82 14590.234914
3 82 14590.234914
4 82 14590.234914
5 82 14590.234914
6 82 14590.234914
7 82 14590.234914
8 82 14590.234914
9 82 14590.234914
10 82 14590.234914
11 82 14590.234914
12 82 14590.234914
13 82 14590.234914
14 82 14590.234914
15 82 14590.234914
16 82 14590.234914
17 82 14590.234914
18 82 14590.234914
19 82 14590.234914
20 82 14590.234914
21 82 14590.234914
22 82 14590.234914
23 82 14590.234914
24 82 14590.234914
25 82 14590.234914
26 82 14590.234914
27 82 14590.234914
28 82 14590.234914
29 82 14590.234914
30 82 14590.234914
31 82 14590.234914
32 82 14590.234914
33 82 14590.234914
34 82 14590.234914
35 82 14590.234914
36 82 14590.234914
37 82 14590.234914
38 82 14590.234914
39 82 14590.234914
40 82 14590.234914
41 82 14590.234914
42 82 14590.234914
43 82 14590.234914
44 82 14590.234914
45 82 14590.234914
46 82 14590.234914
47 82 14590.234914
48 82 14590.234914
49 82 14590.234914
50 82 14590.234914
51 82 14590.234914
52 82 14590.234914
53 82 14590.234914
54 82 14590.234914
55 82 14590.234914
56 82 14590.234914
57 82 14590.234914
58 82 14590.234914
59 82 14590.234914
60 82 14590.234914
61 82 14590.234914
62 82 14590.234914
63 82 14590.234914
64 82 14590.234914
65 82 14590.234914
66 82 14590.234914
67 82 14590.234914
68 82 14590.234914
69 82 14590.234914
70 82 14590.234914
71 82 14590.234914
72 82 14590.234914
73 82 14590.234914
74 82 14590.234914
75 82 14590.234914
76 82 14590.234914
77 82 14590.234914
78 82 14590.234914
79 82 14590.234914
80 82 14590.234914
81 82 14590.234914
82 82 14590.234914
83 82 14590.234914
84 82 14590.234914
85 82 14590.234914
86 82 14590.234914
87 82 14590.234914
88 82 14590.234914
89 82 14590.234914
90 82 14590.234914
91 82 14590.234914
92 82 14590.234914
93 82 14590.234914
94 82 14590.234914
95 82 14590.234914
96 82 14590.234914
97 82 14590.234914
98 82 14590.234914
99 82 14590.234914
100 82 14590.234914
101 82 14590.234914
102 20 4568.500272
103 20 4568.500272
104 20 4568.500272
105 20 4568.500272
106 20 4568.500272
107 20 4568.500272
108 20 4568.500272
109 20 4568.500272
110 20 4568.500272
111 20 4568.500272
112 20 4568.500272
113 20 4568.500272
114 20 4568.500272
115 20 4568.500272
116 20 4568.500272
117 20 4568.500272
118 20 4568.500272
119 20 4568.500272
120 20 4568.500272
121 20 4568.500272
122 20 4568.500272
123 20 4568.500272
124 20 4568.500272
125 20 4568.500272
126 20 4568.500272
127 20 4568.500272
128 20 4568.500272
129 20 4568.500272
130 20 4568.500272
131 20 4568.500272
132 20 4568.500272
133 20 4568.500272
134 20 4568.500272
135 20 4568.500272
136 20 4568.500272
137 20 4568.500272
138 20 4568.500272
139 20 4568.500272
140 20 4568.500272
141 20 4568.500272
142 20 4568.500272
143 20 4568.500272
144 20 4568.500272
