Generation,Indiv,Father,Mother,gvNormUnres1,EBV
1,1,0,0,-0.4869065875,-0.611569750587682
1,2,0,0,0.1709103902,-0.249227423777307
1,3,0,0,-0.2622201974,-0.038809958042329
1,4,0,0,0.8108707957,0.747400345962312
1,5,0,0,0.4598568951,0.415976495004931
1,6,0,0,-0.4922480142,0.21403596720451
1,7,0,0,-1.2272267876,-1.55117588801434
1,8,0,0,0.9913193,0.826538275678151
1,9,0,0,-0.2147196901,-0.530516573714988
1,10,0,0,-0.1304181542,-0.312521390123793
1,11,0,0,-0.5384273091,-0.813156689502453
1,12,0,0,-0.1994317677,-0.0927314645880687
1,13,0,0,0.0347247713,0.290369804886778
1,14,0,0,0.2347176452,0.326005398223352
1,15,0,0,-0.0977242958,0.00973403930541589
1,16,0,0,-0.651793568,0.0576925349190208
1,17,0,0,-0.6008068148,-0.918910561407927
1,18,0,0,0.3602578232,0.341202090852901
1,19,0,0,0.5829343934,0.3868649804631
1,20,0,0,0.1040005708,-0.50336789396841
1,21,0,0,0.8100848184,0.420007713759867
1,22,0,0,0.9053396792,0.682671626006826
1,23,0,0,-0.1615509489,0.0501470563399589
1,24,0,0,-0.3377558384,-0.795228728748951
1,25,0,0,0.1960665209,0.260958687129562
1,26,0,0,0.1339254756,0.623024062121147
1,27,0,0,0.2477878897,-0.0569265905902866
1,28,0,0,0.0528554881,-0.576098367630181
1,29,0,0,-0.6542781375,-0.523987101152257
1,30,0,0,-0.5760623166,-0.272716655810731
1,31,0,0,0.8733367476,0.98353797318142
1,32,0,0,-1.1800853087,-1.24528124470535
1,33,0,0,1.2982885855,0.476422426558711
1,34,0,0,-1.8133099025,-1.47496137809735
1,35,0,0,-0.4154460697,-0.33457836636887
1,36,0,0,-0.496397862,-0.37752149439235
1,37,0,0,-0.2148254447,-0.280043733256699
1,38,0,0,-0.142475571,0.689466317269599
1,39,0,0,0.4029752946,0.124892674252766
1,40,0,0,1.8394803672,1.78200863907764
1,41,0,0,0.5932874504,0.768198978211994
1,42,0,0,-0.243881821,-0.0769249952334911
1,43,0,0,0.4207844069,1.39144944998106
1,44,0,0,0.1938430037,0.5540540881995
1,45,0,0,-0.2623200868,-0.890715962800717
1,46,0,0,-1.0302928601,-0.171752471131908
1,47,0,0,-0.1361171457,0.0322990968591584
1,48,0,0,0.4255011237,0.703852117685639
1,49,0,0,-0.321846649,-0.739062367885549
1,50,0,0,0.1422498285,-0.187356917296082
1,51,0,0,-0.3942765532,-0.00121641166631281
1,52,0,0,-0.3308826169,-0.836641641430401
1,53,0,0,0.8623751231,0.476336353082276
1,54,0,0,0.6053381706,0.901084756398724
1,55,0,0,-0.4761694893,-0.355460591299966
1,56,0,0,0.1158374453,-0.252272422421101
1,57,0,0,-1.8013884476,-1.35124973593599
1,58,0,0,-0.054842573,-0.14561486452109
1,59,0,0,-0.6805698904,-1.16993646550137
1,60,0,0,0.5935763726,0.933852910298233
1,61,0,0,0.7757400284,1.07277480016439
1,62,0,0,0.2500091854,-0.174823116620352
1,63,0,0,0.2009460555,0.941004092662953
1,64,0,0,0.6290053471,1.41314726563697
1,65,0,0,1.2336383632,1.24681924482128
1,66,0,0,0.4823526188,0.080090024095594
1,67,0,0,0.152295735,-0.666889253643725
1,68,0,0,-0.8578834344,-0.642283693342867
1,69,0,0,0.2434129809,0.0970244063052983
1,70,0,0,0.0973829285,-0.528803154671457
1,71,0,0,0.1686273735,0.462144692041436
1,72,0,0,-0.2657891541,0.0453355480968759
1,73,0,0,1.3103962586,1.49189992361329
1,74,0,0,-0.2444631535,-0.0560494523716781
1,75,0,0,-0.7145255297,-0.271507516338111
1,76,0,0,-0.959080572,-0.548612797452806
1,77,0,0,0.2169977153,0.270077299104873
1,78,0,0,-1.2817782309,-0.879313572119555
1,79,0,0,0.4909664836,0.59944690449841
1,80,0,0,-0.9606362011,-0.0614008328687221
1,81,0,0,0.3186018976,0.165967116244806
1,82,0,0,-0.5541649011,-0.133828818361594
1,83,0,0,0.4294688936,1.05064526032292
1,84,0,0,0.6585536478,0.869543434589278
1,85,0,0,0.4982972099,1.20135846736337
1,86,0,0,-0.2709751446,0.0535512701995457
1,87,0,0,-0.409743434,-0.984825794266047
1,88,0,0,0.3519696275,0.226499800775961
1,89,0,0,1.1332279649,0.988901572538978
1,90,0,0,0.6023652624,0.954151174795772
1,91,0,0,0.281697819,0.318884771027115
1,92,0,0,0.2842548643,0.0823994636193225
1,93,0,0,0.1865144283,0.686093044088445
1,94,0,0,-0.6158959184,-0.0719982696296663
1,95,0,0,0.7249470659,0.0230521721234599
1,96,0,0,0.3997248951,0.411259460870023
1,97,0,0,-1.7458166567,-1.5647758203218
1,98,0,0,-0.5683691886,-0.937169561140189
1,99,0,0,-0.0192248379,0.132695660356529
1,100,0,0,-0.4292056395,0.187666069882028
1,101,0,0,0.1644229134,0.222226830598459
1,102,0,0,0.1013886477,0.522222268859754
1,103,0,0,0.5358636068,0.464281657327098
